train_indices;barrio;cod_barrio;distrito;cod_distrito;longitud;latitud;precio.house.m2;sup.const;sup.util;ref.hip.zona;dorm;banos;tipo.casa;inter.exter;ascensor;estado;antig;comercial;casco.historico;Ruidos_ext;Mal_olor;Poca_limp;Malas_comunic;Pocas_zonas;Delincuencia;M.30;CO;NO2;Nox;O3;SO2;PM10;Pobl.0_14_div_Poblac.Total;PoblJubilada_div_Poblac.Total;Inmigrantes.porc
1;Casco Histórico de Vicálvaro;191;vicalvaro;19;-3,623815;40,401993;3688;80;70;2703;2;2;piso;exterior;si;buen_estado;4;0;0;0,35;0,45;0,46;0,18;0,4;0,44;0;-0,186927647;-0,00346781;-0,003660464;0,015470412;-0,328062649;-0,262919886;18,37401856;12,62526767;9,042112777
2;Goya;42;salamanca;4;-3,67057;40,427594;5500;120;110;4579;3;2;piso;exterior;si;buen_estado;30;1;1;0,37;0,26;0,33;0,01;0,38;0,19;0;0,385425398;-0,553806886;-0,562299613;-0,261987056;0,499349446;-0,204604776;10,85083231;22,44510378;8,574556809
3;Aravaca;97;moncloa;9;-3,782001;40,447061;4993;140;89;3378;3;2;piso;exterior;si;buen_estado;5;1;0;0,26;0,12;0,29;0,22;0,21;0,23;0;-0,271638654;-0,00346781;-0,003660464;0,055845137;-0,883350766;-0,211227616;14,23890704;18,79822108;8,043024157
4;Ventas;151;ciudad_lineal;15;-3,632312;40,421705;2619;84;70;3098;3;1;piso;exterior;no;buen_estado;30;0;0;0,41;0,26;0,47;0,38;0,31;0,41;0;-0,136573455;-0,00346781;-0,003660464;-0,016710701;-0,362992332;-0,343878472;12,64032448;20,78241528;13,43059008
5;Sol;16;centro;1;-3,707132;40,419234;6000;60;52;4373;1;1;atico;exterior;si;buen_estado;2,5;1;1;0,55;0,41;0,45;0,02;0,68;0,75;1;0,374366092;-0,973335832;-0,496429226;-0,043144799;0,409857949;0,3499273;12,64032448;20,78241528;13,43059008
6;Castillejos;63;tetuan;6;-3,699775;40,459307;3790;62;50;4041;2;1;atico;exterior;si;buen_estado;30;0;0;0,43;0,26;0,35;0,02;0,51;0,38;0;0,046619782;-0,00346781;-0,003660464;0,172074174;0,536344343;0,235693651;11,18104406;19,55661377;17,55990757
7;San Diego;132;puente_vallecas;13;-3,66742;40,388385;2060;67;65;2747;3;1;piso;exterior;no;buen_estado;31,04873262;0;0;0,46;0,35;0,65;0,17;0,59;0,57;0;-0,392871783;-0,00346781;-0,003660464;0,086853955;-0,694539407;-0,150060346;14,08516192;17,53242516;15,65135819
8;Palomeras Bajas;133;puente_vallecas;13;-3,660743;40,394463;3900;50;50;2704;3;1;piso;exterior;no;segunda_mano;40;0;0;0,37;0,31;0,47;0,21;0,21;0,56;0;-0,445615392;-0,028418253;-0,041154117;0,081956165;-0,564070746;-0,306947831;14,08516192;17,53242516;15,65135819
9;Hispanoamérica;54;chamartin;5;-3,675699;40,458328;3688;80;70;4444;3;1;piso;interior;si;a_reformar;30;1;1;0,37;0,19;0,32;0,04;0,22;0,22;0;-0,440335305;-0,143280092;-0,19673882;0,839997427;0,465477739;-0,213343462;12,64032448;20,78241528;13,43059008
10;Imperial;21;arganzuela;2;-3,720717;40,411143;4800;75;60;3410;3;1;piso;exterior;si;buen_estado;25;1;1;0,39;0,31;0,49;0,22;0,28;0,33;0;0,032135372;0,192408394;0,106176736;0,786720917;-0,37316123;0,084864885;12,40597363;16,46376624;12,06777025
